	Study	Subgroup within study	Comparison	Outcome (specific)	Time point	Correlation	Std Err	Fisher's Z	Std Err	Outcome Group	outcome type	study design	media type	Ferguson	Citation
11	"Valadez, J. J., & Ferguson, C. J. (2012)."	15 min NV1	Blank	hostile feelings	Blank	0.252113579	1.81E-01	0.257668571	0.193218095	affect	antisocial/negative	experimental	antisocial	1	"Valadez, J. J., & Ferguson, C. J. (2012). Just a game after all: Violent video game exposure and time spent playing effects on hostile feelings, depression, and visuospatial cognition. Computers In Human Behavior, 28(2), 608-616.                                                                                                                                                                                                                                                                                                                                                                                   "
12	"Valadez, J. J., & Ferguson, C. J. (2012)."	15 min NV2	Blank	hostile feelings	Blank	0.54967981	1.27E-01	0.617922376	1.82E-01	affect	antisocial/negative	experimental	antisocial	1	"Valadez, J. J., & Ferguson, C. J. (2012). Just a game after all: Violent video game exposure and time spent playing effects on hostile feelings, depression, and visuospatial cognition. Computers In Human Behavior, 28(2), 608-616.                                                                                                                                                                                                                                                                                                                                                                                   "
13	"Valadez, J. J., & Ferguson, C. J. (2012)."	15 min V	Blank	hostile feelings	Blank	-0.122709537	1.68E-01	-0.123331067	1.71E-01	affect	antisocial/negative	experimental	antisocial	1	"Valadez, J. J., & Ferguson, C. J. (2012). Just a game after all: Violent video game exposure and time spent playing effects on hostile feelings, depression, and visuospatial cognition. Computers In Human Behavior, 28(2), 608-616.                                                                                                                                                                                                                                                                                                                                                                                   "
14	"Valadez, J. J., & Ferguson, C. J. (2012)."	45 min NV1	Blank	hostile feelings	Blank	0.219222328	1.49E-01	0.22283903	1.56E-01	affect	antisocial/negative	experimental	antisocial	1	"Valadez, J. J., & Ferguson, C. J. (2012). Just a game after all: Violent video game exposure and time spent playing effects on hostile feelings, depression, and visuospatial cognition. Computers In Human Behavior, 28(2), 608-616.                                                                                                                                                                                                                                                                                                                                                                                   "
15	"Valadez, J. J., & Ferguson, C. J. (2012)."	45 min NV2	Blank	hostile feelings	Blank	0.299404837	1.53E-01	0.308865707	1.68E-01	affect	antisocial/negative	experimental	antisocial	1	"Valadez, J. J., & Ferguson, C. J. (2012). Just a game after all: Violent video game exposure and time spent playing effects on hostile feelings, depression, and visuospatial cognition. Computers In Human Behavior, 28(2), 608-616.                                                                                                                                                                                                                                                                                                                                                                                   "
16	"Valadez, J. J., & Ferguson, C. J. (2012)."	45 min V	Blank	hostile feelings	Blank	-1.79E-01	1.82E-01	-1.81E-01	0.187573123	affect	antisocial/negative	experimental	antisocial	1	"Valadez, J. J., & Ferguson, C. J. (2012). Just a game after all: Violent video game exposure and time spent playing effects on hostile feelings, depression, and visuospatial cognition. Computers In Human Behavior, 28(2), 608-616.                                                                                                                                                                                                                                                                                                                                                                                   "
17	"Thomas, K. D., & Levant, R. F. (2012)."	Blank	Blank	Anger	Blank	0.19	7.50E-02	0.192337169	7.78E-02	affect	antisocial/negative	experimental	antisocial	3	"Thomas, K. D., & Levant, R. F. (2012). Does the Endorsement of Traditional Masculinity Ideology Moderate the Relationship Between Exposure to Violent Video Games and Aggression?. The Journal Of Men's Studies, 20(1), 47-56. doi:10.3149/jms.2001.47                                                                                                                                                                                                                                                                                                                                                                  "
18	"Thomas, K. D., & Levant, R. F. (2012)."	Blank	Blank	physical aggression	Blank	0.29	7.13E-02	0.298566264	7.78E-02	behavior	antisocial/negative	experimental	antisocial	3	"Thomas, K. D., & Levant, R. F. (2012). Does the Endorsement of Traditional Masculinity Ideology Moderate the Relationship Between Exposure to Violent Video Games and Aggression?. The Journal Of Men's Studies, 20(1), 47-56. doi:10.3149/jms.2001.47                                                                                                                                                                                                                                                                                                                                                                  "
19	"Thomas, K. D., & Levant, R. F. (2012)."	Blank	Blank	total aggression	Blank	0.23	7.37E-02	0.234189467	7.78E-02	affect	antisocial/negative	experimental	antisocial	3	"Thomas, K. D., & Levant, R. F. (2012). Does the Endorsement of Traditional Masculinity Ideology Moderate the Relationship Between Exposure to Violent Video Games and Aggression?. The Journal Of Men's Studies, 20(1), 47-56. doi:10.3149/jms.2001.47                                                                                                                                                                                                                                                                                                                                                                  "
20	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011)."	Blank	AS vs Neutral/Control	attitudes towards violence	Blank	0.181731388	8.35E-02	0.183772631	8.63E-02	cognition	antisocial/negative	experimental	antisocial	3	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011). Grand Theft Auto IV comes to Singapore: Effects of repeated exposure to violent video games on aggression. Cyberpsychology, Behavior, And Social Networking, 14(10), 597-602.                                                                                                                                                                                                                                                                                                                                                                                    "
21	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011)."	Blank	AS vs Neutral/Control	Empathy	Blank	2.50E-02	8.70E-02	2.50E-02	8.70E-02	affect	prosocial/positive	experimental	antisocial	3	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011). Grand Theft Auto IV comes to Singapore: Effects of repeated exposure to violent video games on aggression. Cyberpsychology, Behavior, And Social Networking, 14(10), 597-602.                                                                                                                                                                                                                                                                                                                                                                                    "
22	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011)."	Blank	AS vs Neutral/Control	proviolence attitudes	Blank	0.181731388	8.35E-02	1.84E-01	8.63E-02	cognition	antisocial/negative	experimental	antisocial	3	"Teng, S., Chong, G., Siew, A., & Skoric, M. M. (2011). Grand Theft Auto IV comes to Singapore: Effects of repeated exposure to violent video games on aggression. Cyberpsychology, Behavior, And Social Networking, 14(10), 597-602.                                                                                                                                                                                                                                                                                                                                                                                    "
23	"Shafer, D. M. (2012).                                                                                                                                                                                   "	Blank	AS vs Neutral/Control	hostility                                                                                                                                                                                               	Blank	9.94E-02	5.81E-02	0.099699959	5.87E-02	affect	antisocial/negative	experimental	antisocial	3	"Shafer, D. M. (2012). Causes of state hostility and enjoyment in player versus player and player versus environment video games. Journal Of Communication, 62(4), 719-737. doi:10.1111/j.1460-2466.2012."
24	"Sestir, M. A., & Bartholow, B. D. (2010)."	Blank	AS vs Neutral/Control	aggressive behaviour (0 min delay)	Blank	0.196113257	4.83E-02	0.198687117	5.02E-02	behavior	antisocial/negative	experimental	antisocial	3	"Sestir, M. A., & Bartholow, B. D. (2010). Violent and nonviolent video games produce opposing effects on aggressive and prosocial outcomes. Journal Of Experimental Social Psychology, 46(6), 934-942."
25	"Sestir, M. A., & Bartholow, B. D. (2010)."	Blank	AS vs Neutral/Control	aggressive cognition	Blank	0.11	7.40E-02	1.10E-01	7.50E-02	cognition	antisocial/negative	experimental	antisocial	3	"Sestir, M. A., & Bartholow, B. D. (2010). Violent and nonviolent video games produce opposing effects on aggressive and prosocial outcomes. Journal Of Experimental Social Psychology, 46(6), 934-942. doi:10.1016/j.jesp.2010.06.005                                                                                                                                                                                                                                                                                                                                                                                   "
26	"Sestir, M. A., & Bartholow, B. D. (2010)."	Blank	AS vs Neutral/Control	hostile affect	Blank	0.21	7.16E-02	0.213171347	7.50E-02	affect	antisocial/negative	experimental	antisocial	3	"Sestir, M. A., & Bartholow, B. D. (2010). Violent and nonviolent video games produce opposing effects on aggressive and prosocial outcomes. Journal Of Experimental Social Psychology, 46(6), 934-942. doi:10.1016/j.jesp.2010.06.005                                                                                                                                                                                                                                                                                                                                                                                   "
27	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012a)."	Blank	AS vs Neutral/Control	Aggravated Feelings	Blank	9.95E-02	6.66E-02	9.98E-02	6.73E-02	affect	antisocial/negative	experimental	antisocial	2	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012). Effects of prosocial, neutral, and violent video games on college students' affect. Aggressive Behavior, 38(4), 263-271. doi:10.1002/ab.21427                                                                                                                                                                                                                                                                                                                                                                                                                     "
28	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012a)."	Blank	AS vs Neutral/Control	Mean Feelings	Blank	0.114247023	6.63E-02	0.114748018	6.72E-02	affect	antisocial/negative	experimental	antisocial	2	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012). Effects of prosocial, neutral, and violent video games on college students' affect. Aggressive Behavior, 38(4), 263-271. doi:10.1002/ab.21427                                                                                                                                                                                                                                                                                                                                                                                                                     "
29	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012a)."	Blank	AS vs Neutral/Control	Positive affect	Blank	0.167595494	6.51E-02	0.169191636	0.066944884	affect	prosocial/positive	experimental	antisocial	2	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012). Effects of prosocial, neutral, and violent video games on college students' affect. Aggressive Behavior, 38(4), 263-271. doi:10.1002/ab.21427                                                                                                                                                                                                                                                                                                                                                                                                                     "
30	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012a)."	Blank	AS vs Neutral/Control	Total state hostility	Blank	0.14349931	6.57E-02	0.144496644	6.71E-02	affect	antisocial/negative	experimental	antisocial	2	"Saleem, M., Anderson, C. A., & Gentile, D. A. (2012). Effects of prosocial, neutral, and violent video games on college students' affect. Aggressive Behavior, 38(4), 263-271. doi:10.1002/ab.21427                                                                                                                                                                                                                                                                                                                                                                                                                     "
31	"Saleem, M., & Anderson, C. A. (2013). S2"	Blank	AS vs Neutral/Control	explicit Anti-Arab attitudes	Blank	0.138647845	6.17E-02	0.139546654	6.29E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
32	"Saleem, M., & Anderson, C. A. (2013). S2"	Blank	AS vs Neutral/Control	implicit Anti-Arab attitude	Blank	0.214861783	5.96E-02	0.218262907	6.25E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
33	"Saleem, M., & Anderson, C. A. (2013). S2"	Blank	AS vs Neutral/Control	implicit Anti-Arab attitude (Arab-terrorist/Arab-golf)	Blank	0.23796223	6.51E-02	0.242612911	6.90E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
34	"Saleem, M., & Anderson, C. A. (2013). S2"	Blank	AS vs Neutral/Control	negative affect (arab-terrorist/arab-golf)	Blank	0.224147693	5.93E-02	0.228018972	6.24E-02	affect	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
35	"Saleem, M., & Anderson, C. A. (2013). S1"	Blank	AS vs Neutral/Control	anticipated affect in arab drawings (more=positive)	Blank	0.43045216	5.99E-02	0.460451543	7.35E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
36	"Saleem, M., & Anderson, C. A. (2013). S1"	Blank	AS vs Neutral/Control	anticipated affect in russian drawings (more=positive)	Blank	2.41E-01	7.16E-02	2.46E-01	7.60E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
37	"Saleem, M., & Anderson, C. A. (2013). S1"	Blank	AS vs Neutral/Control	explicit Anti-Arab Attitude (arab-game)	Blank	0.167595494	6.76E-02	0.169191636	6.95E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
38	"Saleem, M., & Anderson, C. A. (2013). S1"	Blank	AS vs Neutral/Control	explicit Anti-Arab Attitude (russian game)	Blank	1.48E-01	6.81E-02	0.14944312	6.96E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
39	"Saleem, M., & Anderson, C. A. (2013). S1"	Blank	AS vs Neutral/Control	implicit Anti-Arab attitude	Blank	0.205517234	6.63E-02	0.20848635	6.93E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
40	"Saleem, M., & Anderson, C. A. (2013). S1"	Blank	AS vs Neutral/Control	stereotypical traits	Blank	0.247092907	6.47E-02	0.252314305	6.89E-02	cognition	antisocial/negative	experimental	antisocial	2	"Saleem, M., & Anderson, C. A. (2013). Arabs as terrorists: Effects of stereotypes within violent contexts on attitudes, perceptions, and affect. Psychology Of Violence, 3(1), 84-99. doi:10.1037/a0030038"
41	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	empathy	T1	0.15	1.78E-02	0.151140436	1.82E-02	affect	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
42	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	empathy	T2	1.30E-01	2.02E-02	1.31E-01	2.06E-02	affect	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
43	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	empathy	T3	0.14	2.08E-02	0.140925576	2.12E-02	affect	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
44	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	help	T1	0.14	1.78E-02	0.140925576	1.82E-02	behavior	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
45	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	help	T2	0.13	2.02E-02	0.13073985	2.06E-02	behavior	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
46	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S2"	Blank	Blank	help	T3	0.13	2.08E-02	0.13073985	2.12E-02	behavior	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
47	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S1"	Blank	Blank	empathy	Blank	0.11	2.11E-02	0.110446916	2.13E-02	affect	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
48	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press) S1"	Blank	Blank	help	Blank	0.06	2.12E-02	6.01E-02	2.13E-02	behavior	prosocial/positive	correlational	antisocial	2	"Prot, S., Gentile, D. A., Anderson, C. A., Suzuki, K., Swing, E., Lim, K. M., Horiuchi, Y., Jelic, M., Krahé, B., Liuqing, W., Liau, A., Khoo, A.,  Petrescu, P. D., Sakamoto, A., Tajima, S.., Toma, R., Warburton, W., Zhang, X.-M. & Lam, B. C. P. (in press). Long-term relations between prosocial media use, empathy, and prosocial behavior. Psychological Science"
49	"Prokarym, M. (2012)"	Blank	Blank	anger	Blank	5.15E-02	9.73E-02	5.15E-02	9.75E-02	affect	antisocial/negative	correlational	antisocial	3	"Prokarym, M. (2012). The effect of video games on aggressive behavior. Unpublishes Master Thesis. University of Texas at Arlington."
50	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	physical Aggression T1-violetn game T1	T1	0.29	3.51E-02	0.298566264	3.83E-02	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "
51	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	physical Aggression T2-violent game T1	Blank	0.15	3.75E-02	0.151140436	3.83E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "
52	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	relational Aggression T2- violent game T1	Blank	6.00E-02	3.82E-02	6.01E-02	3.83E-02	behavior	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "
53	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	relational AggressionT1-violent game T1	T1	0.23	3.63E-02	0.234189467	3.83E-02	behavior	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "
54	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	total Aggression T1-violent game T1	T1	0.3	3.49E-02	0.309519604	3.83E-02	affect	antisocial/negative	correlational	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "
55	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012)."	Blank	AS vs Neutral/Control	total Aggression T2-violent game T1	Blank	0.24	3.61E-02	0.244774113	3.83E-02	affect	antisocial/negative	longitudinal	antisocial	3	"Möller, I., Krahé, B., Busching, R., & Krause, C. (2012). Efficacy of an intervention to reduce the use of media violence and aggression: An experimental evaluation with adolescents in Germany. Journal Of Youth And Adolescence, 41(2), 105-120.                                                                                                                                                                                                                                                                                                                                                                     "
