Study	Subgroup.within.study	Comparison	Outcome..specific.	Time.point	Correlation	Std.Err.r	Fisher.s.Z	Std.Err	Outcome.Group	outcome.type	study.design	media.type	Ferguson	Citation	ID	StudyShort	Sample.size
"Li, D., Choo, H., Khoo, A., & Liau, A. (2012)"	Blank	Blank	approval of aggression	Blank	0.133859244	0.0291	0.135	0.0296	cognition	antisocial/negative	correlational	antisocial	3	"Li, D., Choo, H., Khoo, A., & Liau, A. (2012). Effects of digital game play among young Singaporean gamers: A two-wave longitudinal study. Journal of Virtual Worlds Research, 5, 1-15."	70	"Li, D., _ A. (2012)"	1144.344047
"Li, D., Choo, H., Khoo, A., & Liau, A. (2012)"	Blank	Blank	empathy	Blank	0.188239937	0.0286	0.190511819	0.0297	affect	prosocial/positive	correlational	antisocial	3	"Li, D., Choo, H., Khoo, A., & Liau, A. (2012). Effects of digital game play among young Singaporean gamers: A two-wave longitudinal study. Journal of Virtual Worlds Research, 5, 1-15."	71	"Li, D., _ A. (2012)"	1136.671167
"Lemmens, J. S., Valkenburg, P. M., & Peter, J. (2011). "	Blank	AS vs Neutral/Control	physical aggression	Blank	0.09	0.0428	0.0902	0.0432	behavior	antisocial/negative	longitudinal	antisocial	3	"Lemmens, J. S., Valkenburg, P. M., & Peter, J. (2011). The effects of pathological gaming on aggressive behavior. Journal Of Youth And Adolescence, 40(1), 38-47.                                                                                                                                                                                                                                                                                                                                                                                                                                                       "	72	"Lemmens,_. (2011). "	538.8367627
"Krcmar, M., Farrar, K., & McGloin, R. (2011)."	Blank	low vs. high realism	physically aggressive intentions	Blank	0.23782236	0.101	0.242464651	0.107	cognition	antisocial/negative	experimental	antisocial	3	"Krcmar, M., Farrar, K., & McGloin, R. (2011). The effects of video game realism on attention, retention and aggressive outcomes. Computers In Human Behavior, 27(1), 432-439.                                                                                                                                                                                                                                                                                                                                                                                                                                           "	79	"Krcmar, _R. (2011)."	90.34387283
"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	aggressive norms	T1	0.27	0.0224	0.277	0.0242	cognition	antisocial/negative	correlational	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"	94	"Krahé, B_. (2012). "	1710.533638
"Krahé, B., Busching, R., & Möller, I. (2012). "	Blank	Blank	empathy	T1	0.015	0.0242	0.015	0.0242	affect	prosocial/positive	correlational	antisocial	3	"Krahé, B., Busching, R., & Möller, I. (2012). Media violence use and aggression among German adolescents: Associations and trajectories of change in a three-wave longitudinal study. Psychology of Popular Media Culture, 1, 152-166"	95	"Krahé, B_. (2012). "	1710.533638
"Krahé, B., & Möller, I. (2010). "	Blank	Blank	empathy	Blank	0.08	0.0284	0.0802	0.0286	affect	prosocial/positive	longitudinal	antisocial	3	"Krahé, B., & Möller, I. (2010). Longitudinal effects of media violence on aggression and empathy among German adolescents. Journal of Applied Developmental Psychology, 31, 401-409."	104	"Krahé, B_. (2010). "	1225.55367
"Thomas, K. D., & Levant, R. F. (2012)."	Blank	Blank	physical aggression	Blank	0.29	0.0713	0.298566264	0.0778	behavior	antisocial/negative	experimental	antisocial	3	"Thomas, K. D., & Levant, R. F. (2012). Does the Endorsement of Traditional Masculinity Ideology Moderate the Relationship Between Exposure to Violent Video Games and Aggression?. The Journal Of Men's Studies, 20(1), 47-56. doi:10.3149/jms.2001.47                                                                                                                                                                                                                                                                                                                                                                  "	18	"Thomas, _F. (2012)."	168.2117023
"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S3"	Blank	AS vs Neutral/Control	hurtful behaviour	Blank	0.200819903	0.0749	0.203586765	0.078	behavior	antisocial/negative	experimental	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "	170	"Gentile,_(2009). S3"	167.365549
"Jerabeck, J. M., Ferguson, C. J. (2013)."	Blank	AS vs Neutral/Control	empathy	Blank	-0.0811	0.12	-0.0813	0.121	affect	prosocial/positive	experimental	antisocial	2	"Jerabeck, J. M., & Ferguson, C. J.  (2013).  The influence of solitary and cooperative violent video game play on aggressive and prosocial behavior.  Computers in Human Behavior, 26, 2573-2578."	119	Jerabeck_J. (2013).	71.30134554
"Ivarsson, M., Anderson, M., Åkerstedt, T., & Lindblad, F. (2011)"	Blank	AS vs Neutral/Control	heart rate                                                                      	Blank	0.0978	0.226675343	0.098151191	0.228866077	arousal	Blank	experimental	antisocial	3	"Ivarsson, M., Anderson, M., Åkerstedt, T., & Lindblad, F. (2011). 'Playing a violent television game affects heart rate variability': Corrigendum. Acta Paediatrica, 100(9), doi:10.1111/j.1651-2227.2011.02424.x"	120	Ivarsson_ F. (2011)	22.0913724
"Holtz, P., & Appel, M. (2011). "	Blank	AS vs Neutral/Control	externalizing problems                                                                                                                                                                                  	Blank	0.19	0.0678	0.192337169	0.0704	cognition	antisocial/negative	experimental	antisocial	3	"Holtz, P., & Appel, M. (2011). Internet use and video gaming predict problem behavior in early adolescence. Journal Of Adolescence, 34(1), 49-58. doi:10.1016/j.adolescence.2010.02.004                 "	121	"Holtz, P_. (2011). "	204.7691116
"Whitaker, J. L., & Bushman, B. J. (2012)."	Blank	AS vs Neutral/Control	Aggressive behaviour	Blank	0.214861783	0.076976159	0.218262907	0.0807	behavior	antisocial/negative	experimental	antisocial	2	"Whitaker, J. L., & Bushman, B. J. (2012). “Remain calm. Be kind.” Effects of relaxing video games on aggressive and prosocial behavior. Social Psychological And Personality Science, 3(1), 88-92.                                                                                                                                                                                                                                                                                                                                                                                                                      "	6	Whitaker_J. (2012).	156.5510995
"Bushman, B. J., Anderson, C. A. (2009)"	Blank	AS vs Neutral/Control	help	Blank	0.0582	0.072916748	0.0582	0.0732	behavior	prosocial/positive	experimental	antisocial	2	"Bushman, B. J., & Anderson, C. A. (2009). Comfortably numb: Desensitizing effects of violent media on helping others. Psychological Science,  20, 273-277."	240	"Bushman,_ A. (2009)"	189.6284452
"Hasan, Y., Bègue, L., & Bushman, B. J. (2013)"	Blank	Blank	cardiac coherence	Blank	0.45	0.0927	0.484700279	0.116247639	arousal	Blank	experimental	antisocial	2	"Hasan, Y., Bègue, L., & Bushman, B. J. (2013). Violent video games stress people out and make them more aggressive. Aggressive Behavior, 39(1), 64-70. doi:10.1002/ab.21454"	124	"Hasan, Y_ J. (2013)"	76.99999967
"Hartmann, T., & Vorderer, P. (2010)."	Blank	minor misconduct vs high misconduct	negative affect	Blank	0.224432902	0.102300042	0.228319289	0.107726226	affect	antisocial/negative	experimental	antisocial	3	"Hartmann, T., & Vorderer, P. (2010). It's okay to shoot a character: Moral disengagement in violent video games. Journal Of Communication, 60(1), 94-119."	127	Hartmann_P. (2010).	89.17020165
"Krcmar, M. & Lachlan, K. (2009)."	10 minuten/15 minuten/20 minuten/30 minuten	AS vs Neutral/Control	physical aggression/verbal aggression	Blank	0.267049432	0.121	0.260877197	0.081649658	behavior	antisocial/negative	experimental	antisocial	3	"Krcmar, M. & Lachlan, K. (2009). Aggressive outcomes and video game play: The role of length of play and the mechanism at work. Media Psychology, 12, 249-267."	83/84/86/87/89/90/92/93	"Krcmar, _K. (2009)."	256.4314183
"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). S2"	Blank	AS vs Neutral/Control	Empathy	Blank	0.0499	0.16	0.05	0.16	affect	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). Playing prosocial video games increases empathy and decreases schadenfreude. Emotion, 10(6), 796-802.                                                                                                                                                                                                                                                                                                                                                                                                                                                                "	133	Greiteme_(2010). S2	42.0625
"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). S2"	Blank	AS vs Neutral/Control	Schadenfreude	Blank	0.0549	0.16	0.055	0.16	affect	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., Osswald, S., & Brauer, M. (2010). Playing prosocial video games increases empathy and decreases schadenfreude. Emotion, 10(6), 796-802.                                                                                                                                                                                                                                                                                                                                                                                                                                                                "	134	Greiteme_(2010). S2	42.0625
"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). S1"	Blank	AS vs Neutral/Control	Aggressive behavior (volume)	Blank	0.321831476	0.13	0.333688859	0.145	cognition	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). Acting prosocially reduces retaliation: Effects of prosocial video games on aggressive behavior. European Journal Of Social Psychology, 42(2), 235-242.                                                                                                                                                                                                                                                                                                                                                                                              "	135	Greiteme_(2012). S1	50.56242568
"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). S1"	Blank	AS vs Neutral/Control	perceived Arousal	Blank	-0.0648	0.148	-0.0649	0.149	arousal	Blank	experimental	antisocial	3	"Greitemeyer, T., Agthe, M., Turner, R., & Gschwendtner, C. (2012). Acting prosocially reduces retaliation: Effects of prosocial video games on aggressive behavior. European Journal Of Social Psychology, 42(2), 235-242.                                                                                                                                                                                                                                                                                                                                                                                              "	136	Greiteme_(2012). S1	48.04301608
"Hasan, Y., Bègue, L., & Bushman, B. J. (2012). "	Blank	AS vs Neutral/Control/Blank	Aggressive behaviour/hostile expectation bias	Blank	0.379	0.0707	0.399304001	0.0826	behavior	antisocial/negative	experimental	antisocial	2	"Hasan, Y., Bègue, L., & Bushman, B. J. (2012). Viewing the world through “blood-red tinted glasses”: The hostile expectation bias mediates the link between violent video game exposure and aggression. Journal Of Experimental Social Psychology, 48(4), 953-956.                                                                                                                                                                                                                                                                                                                                                      "	125/126	"Hasan, Y_. (2012). "	149.568251
"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S3"	Blank	AS vs Neutral/Control	helpful behaviour	Blank	0.119142955	0.0774	0.119711552	0.0785	behavior	prosocial/positive	experimental	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "	169	"Gentile,_(2009). S3"	165.2783886
"Greitemeyer, T., & McLatchie, N. (2011). S2"	Blank	AS vs Neutral/Control	other player´s secondary emotion (dehuman)	Blank	0.636943712	0.083897324	0.753014153	0.141	cognition	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T., & McLatchie, N. (2011). Denying humanness to others: A newly discovered mechanism by which violent video games increase aggressive behavior. Psychological Science, 22(5), 659-665.                                                                                                                                                                                                                                                                                                                                                                                                                    "	139	Greiteme_(2011). S2	53.29928072
"Whitaker, J. L., & Bushman, B. J. (2012)."	Blank	AS vs Neutral/Control	prosocial behaviour (monetary reward)/prosocial behaviour (number of pencil sharpened)/prosocial hehaviour (pencil sharpened)	Blank	0.098469614	0.0779	0.098152581	0.0809	behavior	prosocial/positive	experimental	antisocial	2	"Whitaker, J. L., & Bushman, B. J. (2012). “Remain calm. Be kind.” Effects of relaxing video games on aggressive and prosocial behavior. Social Psychological And Personality Science, 3(1), 88-92.                                                                                                                                                                                                                                                                                                                                                                                                                      "	7/8/2009	Whitaker_J. (2012).	155.7928236
"Greitemeyer, T. (in press). PSPB S1"	Blank	Blank	Buss & Perry	Blank	0.1	0.0656	0.100335348	0.0662	behavior	antisocial/negative	correlational	antisocial	3	"Greitemeyer, T. (in press)."	143	Greiteme_). PSPB S1	231.1833864
"Hollingdale, J., & Greitemeyer, T. (2013)"	Blank	AS vs Neutral/Control	chili	Blank	0.157689457	0.085	0.159016344	0.0872	behavior	antisocial/negative	experimental	antisocial	3	"Hollingdale, J., & Greitemeyer, T. (2013). The changing face of aggression: The effect of personalized avatars in a violent video game on levels of aggressive behavior. Journal of Applied Social Psychology, 43, 1862-1868."	122	Hollingd_ T. (2013)	134.5124989
"Greitemeyer, T (in press)"	Blank	AS vs Neutral/Control	empathy	Blank	0.203072949	0.111	0.205935604	0.116	affect	prosocial/positive	experimental	antisocial	3	"Greitemeyer, T. (in press). Playing video games cooperatively increases empathic concern. Social Psychology."	145	Greiteme_(in press)	77.31629013
"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013) S2"	Blank	AS vs Neutral/Control	prosocial words	Blank	-0.21019671	0.102	-0.21337714	0.106663044	cognition	prosocial/positive	experimental	antisocial	3	"Gitter, S.A., Ewell, P.J., Guadagno, R.E.,Stillman, T.F., & Baumeister, R. (2013): Virtually Justifiable Homicide: The Effects of Prosocial Contexts on the Link Between Violent Video Games, Aggression, and Prosocial and Hostile Cognition, Aggressive Behaviour, 9999, 1-9."	146	"Gitter, _ (2013) S2"	90.89659527
"Anderson, C. A., & Carnagey, N. L. (2009). S3"	Average intensity aggression/High intensity aggression	AS vs Neutral/Control	CRTT	Blank	0.224858712	0.0953	0.221144093	0.093372285	behavior	antisocial/negative	experimental	antisocial	2	"Anderson, C. A., & Carnagey, N. L. (2009). Causal effects of violent sports video games on aggression: Is it competitiveness or violent content? Journal of Experimental Social Psychology, 45(4), 731-739. doi: http://dx.doi.org/10.1016/j.jesp.2009.04.019"	260/261	Anderson_(2009). S3	114.7001602
"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011)."	Blank	Blank	prosocial behaviour 1/2	Blank	0.35	0.0478	0.365	0.0545	behavior	prosocial/positive	longitudinal	antisocial	3	"Gentile, D. A., Coyne, S., & Walsh, D. A. (2011). Media violence, physical aggression, and relational aggression in school age children: A short-term longitudinal study. Aggressive Behavior, 37(2), 193-206.                                                                                                                                                                                                                                                                                                                                                                                                          "	158	"Gentile,_A. (2011)."	339.6719973
"Sestir, M. A., & Bartholow, B. D. (2010)."	Blank	AS vs Neutral/Control	aggressive behaviour (0 min delay)	Blank	0.196113257	0.0483	0.198687117	0.094211144	behavior	antisocial/negative	experimental	antisocial	3	"Sestir, M. A., & Bartholow, B. D. (2010). Violent and nonviolent video games produce opposing effects on aggressive and prosocial outcomes. Journal Of Experimental Social Psychology, 46(6), 934-942."	24	"Sestir, _D. (2010)."	399.8190981
"Greitemeyer, T. (in press). PSPB S2"	Blank	AS vs Neutral/Control	Taylor	Blank	0.222968416	0.098	0.227	0.103	behavior	antisocial/negative	experimental	antisocial	3	"Greitemeyer, T. (in press)."	142	Greiteme_). PSPB S2	97.25959091
"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	emotional awareness/ antisocial game	Blank	0.036	0.0371	0.036	0.0372	cognition	prosocial/positive	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "	173	"Gentile,_(2009). S1"	725.6268933
"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). S1"	Blank	Blank	empathy/ antisocial game	Blank	0.413	0.0308	0.439	0.0372	affect	prosocial/positive	correlational	antisocial	2	"Gentile, D. A., Anderson, C. A., Yukawa, S., Ihori, N., Saleem, M., Ming, L., & ... Sakamoto, A. (2009). The effects of prosocial video games on prosocial behaviors: International evidence from correlational, longitudinal, and experimental studies. Personality And Social Psychology Bulletin, 35(6), 752-763.                                                                                                                                                                                                                                                                                                    "	174	"Gentile,_(2009). S1"	725.6268933
"Fischer, P., Kastenmüller, A., & Greitemeyer, T. (2010)."	Blank	AS vs Neutral/Control	aggressive behavior	Blank	0.301970106	0.102520618	0.311685967	0.112807034	behavior	antisocial/negative	experimental	antisocial	3	"Fischer, P., Kastenmüller, A., & Greitemeyer, T. (2010). Media violence and the self: The impact of personalized gaming characters in aggressive video games on aggressive behavior. Journal of Experimental Social Psychology, 46(1), 192-195. doi: 10.1016/j.jesp.2009.06.010"	191	"Fischer,_T. (2010)."	81.58282526
